Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,21,1714417,67,81639,16,1271561,53,79473,
Cavan,27,2662678,60,98618,22,1188826,52,54038,
Clare,36,2764639,61,76796,16,974540,54,60909,
Cork,140,7403241,67,52880,95,5282475,54,55605,
Donegal,40,2590316,55,64758,26,1570470,55,60403,
Dublin,559,34396726,65,61533,174,10458828,52,60108,
Galway,55,5240222,61,95277,33,1600012,53,48485,
Kerry,40,2013045,60,50326,27,1302187,51,48229,
Kildare,80,6142496,61,76781,36,2547608,54,70767,
Kilkenny,14,884999,59,63214,15,1231840,48,82123,
Laois,22,1437631,60,65347,7,395597,56,56514,
Leitrim,11,448727,69,40793,8,340506,53,42563,
Limerick,46,2546921,62,55368,30,1913620,56,63787,
Longford,15,596470,66,39765,6,419229,51,69872,
Louth,67,5946049,59,88747,37,2626557,51,70988,
Mayo,24,1132696,56,47196,23,1107461,50,48150,
Meath,54,4500974,62,83351,45,3185700,49,70793,
Monaghan,21,1478653,56,70412,12,654292,57,54524,
Offaly,20,1232163,58,61608,12,991313,46,82609,
Roscommon,20,1054879,69,52744,17,1240023,51,72943,
Sligo,19,2243863,53,118098,7,719338,51,102763,
Tipperary,49,2907901,63,59345,20,1656315,51,82816,
Westmeath,23,1419041,63,61697,14,1138326,50,81309,
Waterford,35,2886321,62,82466,14,941902,52,67279,
Wexford,47,2866744,65,60995,27,1182505,50,43796,
Wicklow,60,4249546,59,70826,18,1678907,50,93273,
